# Time(s) Gyro_X Gyro_Y Gyro_Z Acc_X Acc_Y Acc_Z
0.000000 0.00149671 0.00036174 -0.00015231 0.012162 -0.003360 -10.288821
0.010000 0.00252303 0.00026585 -0.00103414 0.019787 -0.013557 -10.296734
0.020000 0.00257921 0.00126743 -0.00126947 0.024870 -0.022995 -10.288025
0.030000 0.00154256 0.00003658 -0.00126573 0.023536 -0.017631 -10.301528
0.040000 0.00124196 -0.00141328 -0.00252492 0.028411 -0.016505 -10.303639
0.050000 0.00043771 -0.00051283 -0.00048575 0.016154 -0.007308 -10.312756
0.060000 0.00009198 -0.00091230 0.00066565 0.016446 -0.004294 -10.298332
0.070000 0.00077422 0.00056753 -0.00222475 0.022728 -0.004132 -10.287727
0.080000 0.00045562 0.00061092 -0.00195099 0.015599 -0.016304 -10.287602
0.090000 0.00137570 -0.00010064 -0.00109169 0.029395 -0.015881 -10.297185
0.100000 0.00039829 0.00235228 -0.00081350 0.022677 -0.001331 -10.285974
0.110000 -0.00005771 0.00132254 -0.00202084 0.026934 -0.025787 -10.299398
0.120000 0.00120886 -0.00145967 -0.00212819 0.017777 -0.000815 -10.299039
0.130000 0.00119686 0.00123847 -0.00062863 0.032534 -0.020707 -10.301559
0.140000 0.00088435 0.00019890 -0.00227852 0.024815 0.000681 -10.298768
0.150000 0.00028016 0.00003936 0.00025712 -0.005628 -0.030642 -10.293670
0.160000 0.00134362 -0.00126304 -0.00047592 0.005252 -0.023656 -10.296527
0.170000 0.00061492 -0.00017692 -0.00018832 -0.004494 -0.018797 -10.308298
0.180000 0.00203100 0.00143128 -0.00163922 0.005008 -0.023022 -10.307342
0.190000 0.00069079 0.00083126 0.00017555 0.024695 -0.003035 -10.300294
0.200000 0.00052083 0.00031434 -0.00190633 0.014039 -0.019142 -10.307732
0.210000 -0.00019621 0.00131253 0.00055624 0.007113 -0.031456 -10.309945
0.220000 0.00092799 0.00150353 -0.00043836 0.036320 -0.021904 -10.326066
0.230000 0.00035488 0.00086140 0.00073804 0.014129 -0.030904 -10.296055
0.240000 0.00096417 0.00206464 -0.00341975 0.019516 -0.014441 -10.297057
0.250000 0.00182190 0.00058705 -0.00109901 0.016273 -0.029559 -10.297397
0.260000 0.00109176 -0.00148757 -0.00101967 0.030189 0.003137 -10.299030
0.270000 0.00135711 0.00197789 -0.00131827 0.018704 -0.009996 -10.281718
0.280000 0.00019151 -0.00000176 0.00011540 0.015137 -0.008073 -10.304878
0.290000 0.00132875 -0.00002976 -0.00028673 0.023298 -0.005294 -10.309559
0.300000 0.00109708 0.00146864 -0.00150205 0.014749 -0.005452 -10.290488
0.310000 0.00067234 0.00010789 -0.00226351 0.030359 -0.006516 -10.300061
0.320000 0.00129612 0.00076106 -0.00079489 0.041992 -0.013631 -10.327207
0.330000 0.00076541 -0.00091537 -0.00122065 0.017177 -0.019692 -10.288698
0.340000 0.00065729 -0.00030228 -0.00096129 0.015488 -0.004010 -10.291069
0.350000 0.00140405 0.00238619 -0.00062542 0.009999 -0.016404 -10.304405
0.360000 0.00125755 0.00042555 -0.00271877 0.021848 -0.022815 -10.295906
0.370000 0.00097349 0.00056023 0.00166324 0.017277 -0.016522 -10.276141
0.380000 0.00080764 0.00080155 -0.00083471 0.016395 -0.034344 -10.286492
0.390000 -0.00016868 0.00164282 -0.00004807 0.030080 -0.034789 -10.303659
0.400000 0.00179103 -0.00040939 0.00060279 0.024358 -0.009758 -10.296697
0.410000 -0.00040185 0.00108686 0.00139046 0.020178 -0.024386 -10.320648
0.420000 0.00000946 -0.00006630 -0.00070035 0.040495 -0.024687 -10.294885
0.430000 0.00049652 -0.00105066 -0.00073144 0.018412 -0.006028 -10.295501
0.440000 -0.00006230 0.00097359 -0.00171942 0.021534 -0.041343 -10.304983
0.450000 0.00254993 -0.00028325 -0.00112206 0.027446 -0.008453 -10.306167
0.460000 0.00181352 -0.00073086 -0.00057254 0.004220 -0.013734 -10.325718
0.470000 0.00230714 -0.00110748 -0.00061537 0.008513 0.002602 -10.282199
0.480000 0.00125988 0.00128182 -0.00203695 0.024872 -0.011927 -10.316152
0.490000 -0.00032046 0.00102194 -0.00050302 0.012593 -0.017952 -10.303844
0.500000 0.00125049 0.00084645 -0.00148002 0.016498 -0.002008 -10.302068
0.510000 0.00123225 0.00079307 -0.00151435 0.016591 -0.007605 -10.310845
0.520000 0.00286577 0.00097383 -0.00199130 0.011598 -0.022377 -10.296094
0.530000 0.00165655 -0.00047468 -0.00001292 0.016550 -0.018133 -10.303299
